71nl 1ds 200gp 10sm	תקינו ליה רבנן
52nl 1ds 210gp 10sm	אורחא דארעא למשבק איניש גולפא ומשכא
62nl 1ds 210gp 10sm	באושפיזא٠
23nl 1ds 210gp 10sm	אלא מחוורתא כדשנין מעיקרא٠
60nl 2ds 210gp 10sm	תסתיים דרבי הוא
70nl 2ds 210gp 10sm	דאמ׳ "של כלאיים"٠
90nl 2ds 210gp 10sm	אימת٠ אילימא "בשאר ימות השנה"٠
01nl 2ds 210gp 10sm	טובא איכא
31nl 2ds 210gp 10sm	"לעולם בשאר ימות השנה" ובהנך דשוין٠
91nl 2ds 210gp 10sm	אף אנן
02nl 2ds 210gp 10sm	נמי תנינא٠
60nl 1ds 310gp 10sm	ורבנן נמי הא
70nl 1ds 310gp 10sm	קא חיישי "לשמא"٠ "טומאה" שכיחא "מיתה"
80nl 1ds 310gp 10sm	לא שכיחא٠
90nl 1ds 310gp 10sm	שפיר קאמרי ליה٠
01nl 1ds 310gp 10sm	"למיתה" דחדא חישינן "למיתה"
11nl 1ds 310gp 10sm	דתרתי לא חיישינן٠
21nl 1ds 310gp 10sm	ורבנן נימרו
31nl 1ds 310gp 10sm	לנפשיהו٠
41nl 1ds 310gp 10sm	אי "זריז" לא ניתקין ליה "כהן אחר" כיון
51nl 1ds 310gp 10sm	דעבדי׳ ליה "צרה٠ כל שכן" דמיזדרז טפי٠ ומי
61nl 1ds 310gp 10sm	סגי ליה "בהתקנה ٠٠٠"
71nl 1ds 310gp 10sm	דמקדיש לה٠ והא כמה דלא כניס
81nl 1ds 310gp 10sm	לה לאו "ביתו" היא٠ דכניס לה٠ אי כניס לה הוו להו٠
91nl 1ds 310gp 10sm	אמ׳ רחמנא
02nl 1ds 310gp 10sm	דמגריש לה٠
12nl 1ds 310gp 10sm	אי דמגריש לה הדר קושיין לדוכתיה٠
22nl 1ds 310gp 10sm	דמגריש לה "על תנאי"٠
32nl 1ds 310gp 10sm	ודילמא היא לא מיתה והוה לה
52nl 1ds 310gp 10sm	גיטה גיטא٠ ומיתה חברתה וקם ליה בלא "בית"٠
72nl 1ds 310gp 10sm	ודילמא לא מיתא ולא חדא והוו להו "שני בתים"٠ ועוד
82nl 1ds 310gp 10sm	כי האי גונא מי הוי "גט"٠
13nl 1ds 310gp 10sm	ודילמא מיתה חברתה בפלגא "דעבודה" ואיגלאי מילתא٠
10nl 2ds 310gp 10sm	דהא דגיטא לאו גיטא הוא
30nl 2ds 310gp 10sm	ודילמא "מתה חברתה"٠
40nl 2ds 310gp 10sm	והוה ליה גיטה גיטא٠
50nl 2ds 310gp 10sm	וקם ליה בלא "בית"٠ אלא דמגרש להי לתרויהי٠
60nl 2ds 310gp 10sm	לחדא אמ׳ לה ٠٠٠
90nl 2ds 310gp 10sm	ודילמא לא מיתה חברתה ועילא "לבית הכנסת"٠
01nl 2ds 310gp 10sm	והוו גיטי דתרויהו גיטי
11nl 2ds 310gp 10sm	וקם ליה בלא "בית"٠ אלא לחדא אמ׳ לה
41nl 2ds 310gp 10sm	אם מיתה הא קימא
51nl 2ds 310gp 10sm	הא٠ מאי איכא
61nl 2ds 310gp 10sm	למימר٠ דילמא מיתה חברתה בפלגא "דעבודה"٠
71nl 2ds 310gp 10sm	ועבד ליה ٠٠٠
81nl 2ds 310gp 10sm	אי חזי דקא בעיא למימת קדים
91nl 2ds 310gp 10sm	הוא עייל "לבית הכנסת"٠ ומשוי ליה לגיטה
02nl 2ds 310gp 10sm	גיטא "למפרע"٠ מתקיף לה רב סטיא ואיתימא רב עוירא٠
22nl 2ds 310gp 10sm	מתקיף לה רבינא ואיתימא רב שרביה٠
62nl 2ds 310gp 10sm	השתא לר׳ יהודה אפוקי מפקינן ליה٠
82nl 2ds 310gp 10sm	מייתינן ליה "מתוך ביתו"٠
20nl 1ds 410gp 10sm	ומי גזר ר׳ יהודה "שמא יאכל"
50nl 1ds 410gp 10sm	ואי "מתה אשתו" עביד "עבודה"٠
60nl 1ds 410gp 10sm	הכי השתא٠
70nl 1ds 410gp 10sm	התם כיון "דיום הכיפורים" הוא וכולי עלמא
80nl 1ds 410gp 10sm	לא אכלי٠ איהו נמי לא
90nl 1ds 410gp 10sm	אכיל٠ הכא כיון דכולי עלמא קא אכלי٠ הוא נמי
01nl 1ds 410gp 10sm	אתי למיכל٠ וכי האי גונא מי חיילא עליה "אנינות"
11nl 1ds 410gp 10sm	והא מגרשא٠ נהי "דאנינות" לא חילא
21nl 1ds 410gp 10sm	עליה٠ איטרודי מי לא מיטריד בה٠
81nl 1ds 410gp 10sm	מאן תנא٠
02nl 1ds 410gp 10sm	היכי עביד "עבודה"٠
82nl 1ds 410gp 10sm	ניכתוב רחמנא ٠٠٠
04nl 1ds 410gp 10sm	וניכתוב רחמנא "נושא"
14nl 1ds 410gp 10sm	הא קא משמע לן דבעינן "שיעור הזאה"٠
44nl 1ds 410gp 10sm	הני מילי אגביה
54nl 1ds 410gp 10sm	דגברא אבל במנא "צריכה שיעור"
10nl 2ds 410gp 10sm	אפלו תימא٠
20nl 2ds 410gp 10sm	ר׳ עקיבא٠ דעביד "עבודה" כוליה יומא٠ ולפניא מדו
30nl 2ds 410gp 10sm	עליה וטביל ועביד "הערב השמש"٠
40nl 2ds 410gp 10sm	אלמא "קטרת"
50nl 2ds 410gp 10sm	ברישא והדר "נרות"٠ ורמינהי ٠٠٠
70nl 2ds 410gp 10sm	מאן תנא תמיד٠
80nl 2ds 410gp 10sm	והא איפכא
90nl 2ds 410gp 10sm	שמעינן ליה٠
51nl 2ds 410gp 10sm	מאן תנא סדר יומא٠
61nl 2ds 410gp 10sm	ורמי סדר יומא אסדר יומא
22nl 2ds 410gp 10sm	למימרא "דבקטרת" מפסיק להי٠
32nl 2ds 410gp 10sm	והא אביי מסדר "מערכה" משמא דגמרא
42nl 2ds 410gp 10sm	"ובדם התמיד" מפסיק להי٠
10nl 1ds 510gp 10sm	בעידן "הטבה" נהי מקטרא "קטרת" דאי לא
20nl 1ds 510gp 10sm	תימא הכי ٠٠٠
30nl 1ds 510gp 10sm	התם נמי ברישא נדליק והדר נקטר "קטרת ٠٠٠"
41nl 1ds 510gp 10sm	הא אבא שאול٠ הא רבנן٠ במאי אוקימתה
51nl 1ds 510gp 10sm	למתניתין דהכא ברבנן٠ פייס כאבא שאול٠
61nl 1ds 510gp 10sm	אימא סופה
81nl 1ds 510gp 10sm	אתאן לרבנן٠
91nl 1ds 510gp 10sm	רישא וסופה רבנן٠ ומציעתא אבא שאול٠ אמ׳
02nl 1ds 510gp 10sm	לך ^רב פפא٠ אין٠ רישא וסופא רבנן٠ ומציעתא^
12nl 1ds 510gp 10sm	^אבא שאול^٠ בשלמא אביי לא אמ׳ כרב פפא٠
22nl 1ds 510gp 10sm	רישא וסופא ברבנן٠ ומציעתא באבא שאול٠ לא
32nl 1ds 510gp 10sm	מוקים٠ אלא רב פפא מאי טעמא לא אמ׳
42nl 1ds 510gp 10sm	כאביי٠ אמ׳ לך٠ תני ברישא "הטבת שתי נרות"٠
52nl 1ds 510gp 10sm	והדר תני "הטבת חמש נרות"٠ ואביי٠ הכא
62nl 1ds 510gp 10sm	א{{ו}}<י>רויי הוא דקא מיירי٠ סידרה הא
72nl 1ds 510gp 10sm	קתני לה٠ גופה
33nl 1ds 510gp 10sm	חד דבי ר׳ ינאי٠
83nl 1ds 510gp 10sm	וניתין "שתים שהן ארבע ٠٠٠"
04nl 1ds 510gp 10sm	הכא נמי "הקישך הכתוב" אמרי٠
14nl 1ds 510gp 10sm	התם "פיסוק מתנות" בעלמא הוא٠
34nl 1ds 510gp 10sm	ולא٠ התם "כמצליף" הוא דעביד٠
