90nl 1ds 200gp 10sm	למאי הילכתא
61nl 1ds 400gp 10sm	אקלייה בנורא٠ אטו שלמה נמי עבד הכי٠
02nl 1ds 400gp 10sm	שלמה סאדיה בסידא٠
12nl 1ds 400gp 10sm	הוא לא סאדיה בסידא٠
22nl 1ds 400gp 10sm	שלמה הוא עבד "מלמעלה"٠ הוא עבד
32nl 1ds 400gp 10sm	"מלמטה"٠ שלמה שקעיה בבנינא הוא לא
42nl 1ds 400gp 10sm	שקעיה בבנינא٠
52nl 1ds 400gp 10sm	מאי "שגל" ٠٠٠ כלבתא٠
92nl 1ds 400gp 10sm	!מלכתא! היא٠ !מלכתא! בית משתיא חמרא היא٠ הא לא
03nl 1ds 400gp 10sm	קשיא٠ דמגמרי לה ושתיא٠
23nl 1ds 400gp 10sm	מאי קמבשר להו "נביא לישראל"٠ הכי אמר להו٠
43nl 1ds 400gp 10sm	או בעית אימ׳٠ "לעולם שגל" מלכתא٠ ורבא בר לימא גמרא גמיר לה٠ ומאי קרי לה "שגל"٠
53nl 1ds 400gp 10sm	או בעית אימ׳٠ מנא לן
63nl 1ds 400gp 10sm	דאחמיץ٠
73nl 1ds 400gp 10sm	מעיקרה לאו בקיצותא٠
83nl 1ds 400gp 10sm	השתא בקיצותא٠ ודלמא מעיקרה לא קיים להו בשיעורא٠ השתא קיים להו בשיעורא٠ אלא מחוורתא
93nl 1ds 400gp 10sm	כיד שנין מעיקרה٠
04nl 1ds 400gp 10sm	ולמאי נפקא מינה٠
90nl 2ds 400gp 10sm	מאי טעמיה{ו}
01nl 2ds 400gp 10sm	דתנא קמ׳٠ אמר לך٠ כי מכדי מניהו סליק מאי שנא
11nl 2ds 400gp 10sm	הדר כתב רחמנא "חג המצות"٠
61nl 2ds 400gp 10sm	אמ׳ רחמנא٠ כי אתית איתי٠ ורבנן٠
71nl 2ds 400gp 10sm	ההוא "לעשה"٠ ור׳מ٠ מי דאמר ליה
81nl 2ds 400gp 10sm	רחמנא٠ איתי٠ ולא איתי٠ קם ליה "בבל תאחר"٠
44nl 2ds 400gp 10sm	למאי הילכתא כתביה רחמנא "לחג הסוכות"٠
20nl 1ds 500gp 10sm	והתם גופיה מנא לן٠
80nl 1ds 500gp 10sm	הא לאי "מדחודש" חד יומא٠ עצרתא נמי חד יומא٠ אמ׳
90nl 1ds 500gp 10sm	רבא٠ אטו "עצרת" יומי מנינן٠ שבועי לא
01nl 1ds 500gp 10sm	מנינן٠ "מצוה" לממני ^יו^מי٠ "ומצוה"
11nl 1ds 500gp 10sm	לממני שבועי٠
21nl 1ds 500gp 10sm	{{פסח}} בר בר מיקרב "ברגלים" הוא٠ "פסח זמן" קבע
31nl 1ds 500gp 10sm	ליה٠ או אקרביה אקרביה ואי לא
41nl 1ds 500gp 10sm	לידחי٠ אמ׳ רב חסדא٠ "פסח" פסו֗ק֗ נסביה٠
21nl 2ds 500gp 10sm	"חליפי" מאי٠ או לימא "חליפי עולה ושלמים" מקרב קרבי٠
61nl 2ds 500gp 10sm	היכי ^ליבי^٠
71nl 2ds 500gp 10sm	ל^ק^רב֗י֗ה ולקריב "לחם" בהדה٠ דלמא "תמורה" היא٠
91nl 2ds 500gp 10sm	והא כיון דלאו "בת הקרבה" היא קרא למעוטה למא לי٠
42nl 2ds 500gp 10sm	מהוא דתימא٠ כיון דמכוח קמ׳ קאתי٠ אימא כמאן "דעבר"
52nl 2ds 500gp 10sm	"שלשה רגלים" דאמי٠ ק׳מלן٠
23nl 2ds 500gp 10sm	הא מהכא נפקא٠ "מדאחרים" נפקא٠
83nl 2ds 500gp 10sm	איצטריך٠
93nl 2ds 500gp 10sm	ס׳ד אמינא٠ ה׳ם "בכור" דלאו
04nl 2ds 500gp 10sm	בר "הרצאה" הוא "אבל קדשים" דבני "הרצא׳"
14nl 2ds 500gp 10sm	הוא٠ אימא לא נירצי٠ ואכת׳ מהכא נפקא מדרבנן٠
81nl 1ds 600gp 10sm	למה לי٠ "מלא תאחר לשלמו" נפקא٠
12nl 1ds 600gp 10sm	חד דאמר ולא אפריש٠ חד דאפריש ולא אקריב٠ וצריכה٠ דישמענן אמר ולא
22nl 1ds 600gp 10sm	אפריש٠ משום דלא קיימיה לדיבוריה٠ אבל א{{ק}}^פ^רי{{ב}}^ש^ ולא אקריב אימא٠ כל היכא
32nl 1ds 600gp 10sm	דאיתייה בי גזא איתייה٠ וישמעינן אפריש ולא אקריב٠ משום
42nl 1ds 600gp 10sm	דקמשהי ליה גביה٠ אבל אמר ולא אפריש אימא דיבורא בעלמא הוא٠ ק׳מלן٠
52nl 1ds 600gp 10sm	ואימצית אמרת٠ אמר ולא אפריש٠ והא "נדבה" כת׳٠ הכא במאי עסיקינן٠
92nl 1ds 600gp 10sm	מ׳ט٠ דהא קיימי "עניים"٠
03nl 1ds 600gp 10sm	פשיטא٠ מהוא דתימא٠ "הואיל" וכתיבא בענינא "דקרבנות"٠ אימא עד דעברי עלה "שלשה רגלים"
13nl 1ds 600gp 10sm	כי "קרבנות"٠ ק׳מלן התם הוא דתלן הא רחמנ׳ "ברגלים٠ אבל" הכא לא٠ שכיחי "עניים"٠
53nl 1ds 600gp 10sm	בשלמא "בפסח" לא קרביה٠ אימא٠ "מחוסר זמן٠ אבל עצרת" לבתר הכי הוא דהוה
70nl 2ds 600gp 10sm	והאי מאי
80nl 2ds 600gp 10sm	תיובתיה٠ אמ׳ רב כהנא٠ מאן קא מותיב
90nl 2ds 600gp 10sm	{שטר} <שפיר#20#> קמותיב٠
01nl 2ds 600gp 10sm	ליתנו٠ "בכל יום ויום עובר בבל תאחר"٠ ואידך٠
11nl 2ds 600gp 10sm	למקבעיה "בלאו" קמהדר٠ "בלאו" יתירא
21nl 2ds 600gp 10sm	לא קמהדר٠
41nl 2ds 600gp 10sm	בשלמא
51nl 2ds 600gp 10sm	"רגלים בלא שנה" משכחת לה٠ אלא "שנה בלא"
61nl 2ds 600gp 10sm	"רגלים"٠ היכי משכחת לה٠ בשלמא למן דאית
71nl 2ds 600gp 10sm	ליה "כסדרן"٠ משכחת לה٠ אלא למן דלית ליה
81nl 2ds 600gp 10sm	"כסדרן"٠ היכי משכחת לה٠ בשלמא לרבי
91nl 2ds 600gp 10sm	משכחת לה "בשנה מעוברת"٠ אלא לרבנן היכי משכחת לה٠
32nl 2ds 600gp 10sm	היכי משכחת לה٠ כגון דעברוהא "לאחר"
42nl 2ds 600gp 10sm	"הפסח"٠ דכי מטיא {{שליחא}}<שלהי> דאדר בתרא "שנה"
52nl 2ds 600gp 10sm	מלא٠ "רגלים" לא מ{{ל٠٠٠}}^ל^ו٠ ואי לא היכי עביד٠
62nl 2ds 600gp 10sm	עביד כרב שמעיה٠
03nl 2ds 600gp 10sm	מאי האיי٠
24nl 1ds 700gp 10sm	"שואלין בהלכות ٠٠٠" אתו לזלזולי "בחמץ"٠ ואיד{ע}<ד> מ{ו}<י>דע ידעי אנשי דשתא מעברתא
34nl 1ds 700gp 10sm	בחו֗שב֗נא תליא מילתא٠ ואמרי٠ חושבנא הוא ולא סליק להו לרבנן עד
44nl 1ds 700gp 10sm	האידנא٠ ותנא דידן٠ "בהתחלה" קמיירי٠ "בהפסקה" לא קמיירי٠
20nl 2ds 700gp 10sm	ותנא דידן٠ כיון "דאם הביא יצא"٠ לא
30nl 2ds 700gp 10sm	פסיקא ליה٠
90nl 2ds 700gp 10sm	התם לא עביד איניש דאגר ביתא
01nl 2ds 700gp 10sm	בציר מתלתין יומי٠ אימ׳ תשרי٠ התם
11nl 2ds 700gp 10sm	כי אגר איניש ביתא לכולהו "ימות הגשמ׳"
21nl 2ds 700gp 10sm	אגר٠ ותנא קמא ותנא דידן٠ בניסן נמי
31nl 2ds 700gp 10sm	שכיחי קטרי٠
81nl 2ds 700gp 10sm	רישה וסיפה ר׳ שמעון ומיצעתה ר׳מ٠
91nl 2ds 700gp 10sm	רבי !ליה י!֗נ֗סי ליה אליבא דתנאיי٠
12nl 2ds 700gp 10sm	הני "ארבעה" הני "חמשה" האוו٠ אמ׳
82nl 2ds 700gp 10sm	כי דקתני מידי
92nl 2ds 700gp 10sm	דחייל מאורתא٠ מידי דלא חייל מאורתא לא
03nl 2ds 700gp 10sm	קתני٠ "הרי רגלים"٠ כיון דאמ׳ ליה ואמ׳٠ אייתי٠ ולא אייתי٠ ממילה קם ליה "בבל תאחר"٠
53nl 2ds 700gp 10sm	כידקתני
63nl 2ds 700gp 10sm	מידי דלא תלי "במעשה"٠ מידי דתלי "במעשה"
73nl 2ds 700gp 10sm	לא קחשיב٠
61nl 1ds 800gp 10sm	ההוא באפליאתא٠
71nl 1ds 800gp 10sm	ואידך נמי הכת׳ "יתרועעו אף ישירו"٠
81nl 1ds 800gp 10sm	ההוא בחרפיאתא٠
12nl 1ds 800gp 10sm	אלא לר׳א ור׳ש איפכה
22nl 1ds 800gp 10sm	מיבי ליה٠ נהי "דלבשו כר׳ הצ׳" "ויתר׳ אף ישי׳"٠
52nl 1ds 800gp 10sm	ואיעבורי באדר מיעברן٠ והכא בהאיי קרא קמיפלגי٠
43nl 1ds 800gp 10sm	ואמרינן למאי הילכתא ٠٠٠ ואמרנן٠ למאי הילכתא٠
24nl 1ds 800gp 10sm	מתשרי מנינן٠ רב חסדא מתניתא אתא
34nl 1ds 800gp 10sm	לאשמועינן٠ רב חסדא קרא אתא
44nl 1ds 800gp 10sm	לאשמוענן٠
21nl 2ds 800gp 10sm	מ׳ט٠ או בעיתימ׳ לאו
31nl 2ds 800gp 10sm	אורח ארא למיתב מלכא אבראי ואינהו גואי٠ ואו באיתימ׳
41nl 2ds 800gp 10sm	קמי דליפוש "חרון אף"٠
61nl 2ds 800gp 10sm	ויליף "שנה שנה" מתשרי٠ ונילף "שנה שנה" מניסן٠
20nl 1ds 800gp 10sm	ולאפוקי מדרבנן٠
31nl 1ds 800gp 10sm	מנא ליה٠ נפקא ליה מדתניא٠
21nl 2ds 900gp 10sm	וכי תימא٠ וכי אפשר
31nl 2ds 900gp 10sm	דלא איכא חד "בסוף העולם" דמשלח٠
81nl 2ds 900gp 10sm	דכולי< עלמא> מיהא
91nl 2ds 900gp 10sm	"דרור" לישנא דחירותא٠
02nl 2ds 900gp 10sm	מאי משמעא ٠٠٠ "דרור" מדור בדירייא "ומוביל סחורה לכל מדינה"٠
71nl 2ds 010gp 10sm	מדכת׳ "יום אחד" דעייל
81nl 2ds 010gp 10sm	"בשנה" וקקרי לה "שנה"٠ שמע מינה٠
02nl 2ds 010gp 10sm	השתא דכת׳٠
12nl 2ds 010gp 10sm	"באחת ושש מאות שנה" "אשש מאות"
22nl 2ds 010gp 10sm	קאיי٠ "אחת" אתחלתא "דאחת" קאמרינן٠
42nl 2ds 010gp 10sm	"יום" עייל "בחדש" וקקרי ליה
52nl 2ds 010gp 10sm	"חדש"٠ שמע מינה٠
82nl 1ds 110gp 10sm	מכלל דתרויהו סבירא להו٠
92nl 1ds 110gp 10sm	מאי משמעה דהאיי "איתן"
03nl 1ds 110gp 10sm	לישנא תקיפא הוא٠
93nl 1ds 110gp 10sm	"ירח האיתנים"٠ דתקיפי "במצוות"٠ ואידך נמי "בחדש זיו"٠ ההוא
04nl 1ds 110gp 10sm	דאית להו זיויא לאילני٠ דאמ׳ רב יהודה٠ האי מן דנפיק ביומי ניסן וחזי
14nl 1ds 110gp 10sm	אילני דמלבלבי ٠٠٠
74nl 1ds 110gp 10sm	אימתי קאיי٠ אולימא "בפסח" וקאמר ליה "בעצרת"٠ בחמשה יומי
84nl 1ds 110gp 10sm	מיקא ילדא٠ ואלא "בעצרת" וקאמ׳ לה לתשרי٠ אכת׳ בחמשה ירחי מיקא
94nl 1ds 110gp 10sm	ילדה٠ אלא בתשרי וקאמ׳ ליה לניסן٠ ואכת׳ בשיתא ירחי מיקא ילדא٠
05nl 1ds 110gp 10sm	סוף סוף כי מדלי מר יומי "טומאה" בצרו להו٠
11nl 2ds 110gp 10sm	ואזדו לטעמיהו٠
51nl 1ds 210gp 10sm	תנא דרבנן
61nl 1ds 210gp 10sm	ותני דאוריתא٠ וליתנו דאוריתא ברישא٠
71nl 1ds 210gp 10sm	אידי דחביבא ליה אקדמה٠ ותנא דידן٠
81nl 1ds 210gp 10sm	תנא דרבנן٠ "וכל שכן" דאוריתא٠
02nl 1ds 210gp 10sm	וליתני "ירק"٠ תרי גווני "ירק"٠
23nl 2ds 210gp 10sm	הכא לצעורי נפשיה קביל עליה
33nl 2ds 210gp 10sm	והא אצטער٠
83nl 2ds 210gp 10sm	ומטא בה משמא דר׳ יוסי٠
14nl 2ds 210gp 10sm	מאי עבידתה٠ "שמינית היא"٠
10nl 1ds 310gp 10sm	ודלמא לא עייל כלל٠ וקאמ׳ רחמ׳٠ שמוט
20nl 1ds 310gp 10sm	ותיזיל עד "חג הסוכות"٠
50nl 1ds 310gp 10sm	וקיים להו לרבנן ٠٠٠
70nl 1ds 310gp 10sm	וקקרי ליה "בצאת השנה"٠
90nl 1ds 310gp 10sm	לאו אמינא לך לא
01nl 1ds 310gp 10sm	תפיק נפשך לבר מהילכתא٠
61nl 1ds 310gp 10sm	הדר ^אמ׳^ ר׳ ירמיה٠
71nl 1ds 310gp 10sm	לאו מילתא٠ דבעי חבריה מניה מרב כהנא٠
91nl 1ds 310gp 10sm	אם תימר דעייל "ביד"
02nl 1ds 310gp 10sm	"גוי٠ קצירכם" אמר רחמנא٠
12nl 1ds 310gp 10sm	מ׳ל מיהא דאקריבו٠
32nl 1ds 310gp 10sm	"ממחרת הפסח" אכול מעיקרה לא אכיל٠
42nl 1ds 310gp 10sm	דאקריבו "עומר" והדר אכיל٠
62nl 1ds 310gp 10sm	ודלמא עייל ולא קיים להו٠ ^אלא קיים^
72nl 1ds 310gp 10sm	^להו^٠ הכא נמי קיים להו٠ ודלמא לא עייל
82nl 1ds 310gp 10sm	כלל٠ אבל היכא דעייל ריבעא או דינקא בין "שליש"
92nl 1ds 310gp 10sm	"לפחות משליש" לא קיים להו٠
13nl 1ds 310gp 10sm	ואו סלק׳ דע׳ דלא עייל כלל בחמשה יומי מיקא
23nl 1ds 310gp 10sm	מלייה٠ אלא מאי٠ דעייל {{או}} ריבעא או דינקא٠ ואכת׳
33nl 1ds 310gp 10sm	בחמשה יומי מיקא מליא٠ אלא מאי אית לך
43nl 1ds 310gp 10sm	למימר٠ "ארץ צבי" כת׳ בה٠ הכא נמי "ארץ צבי"
53nl 1ds 310gp 10sm	כת׳ בה٠ מתקיף לה רב חנניה٠ ומי מצית
63nl 1ds 310gp 10sm	אמרת דהאיי "אסיף קציר" הוא٠
83nl 1ds 310gp 10sm	האמר ר׳ זורא٠ הא מילתא הואי
93nl 1ds 310gp 10sm	בידין٠ ואתא רב חנניה רמא בה נרגא٠
10nl 2ds 310gp 10sm	והאי מיבי
20nl 2ds 310gp 10sm	לי לגופיה٠ כתיב קרא אוחרינא٠
80nl 2ds 310gp 10sm	א֗מור רבנן "אילן" בתר "חנטה"٠
90nl 2ds 310gp 10sm	"תבואה וזיתים" בתר "שליש"٠ "ירק" בתר "לקיטה"٠
01nl 2ds 310gp 10sm	הני כמאן שוונהו רבנן٠
11nl 2ds 310gp 10sm	אזול רבנן בתר "השרשה"٠
82nl 2ds 310gp 10sm	אישתמיטתיה הא דאמ׳ שמואל٠
80nl 2ds 410gp 10sm	ומי עבדינן
90nl 2ds 410gp 10sm	כי ביתרי٠
51nl 2ds 410gp 10sm	ר׳ עקיבה גמריה אסתפק ליה ולא ידע٠
32nl 2ds 410gp 10sm	כרוך
42nl 2ds 410gp 10sm	ותני٠
10nl 1ds 510gp 10sm	מאן שמעת ליה דאזיל בתר "לקיטה"٠
80nl 1ds 510gp 10sm	מילתא אגב אורחיה ק׳מלן "דאתרוג" קשיא
90nl 1ds 510gp 10sm	לה ידא٠ ואיידי דמשמשי בה כולי עלמ׳
01nl 1ds 510gp 10sm	"בשביעי"٠ לא טענא פירי עד תלת שני٠
02nl 1ds 510gp 10sm	בשלמא סופה לחומרא٠
12nl 1ds 510gp 10sm	אלא רישה "פטורה מן הביעור"٠ אמאי٠
22nl 1ds 510gp 10sm	דאמרינן ֗ז֗י בתר "חנטה" או הכי תיחייב "במעשר"٠
42nl 1ds 510gp 10sm	ואת אמרת٠ תיחייב "במעשר"٠
73nl 1ds 510gp 10sm	תנאיי היא٠
14nl 1ds 510gp 10sm	מאן אדכר שמה٠
10nl 2ds 510gp 10sm	חסורי מחסרי והכי קתני٠
50nl 2ds 510gp 10sm	ר׳ יוחנן וריש לקיש דאמרי תרויהו٠
12nl 2ds 510gp 10sm	אישתיק٠
22nl 2ds 510gp 10sm	אמאי שתיק٠ לימא ליה٠ קאמ{ת}<נ>אלך
32nl 2ds 510gp 10sm	א{ז}<נ>א לר׳ נחמיה אמרת לי את
42nl 2ds 510gp 10sm	לרבנן٠ משום דאמר٠ רבנן ועבדת כר׳
52nl 2ds 510gp 10sm	נחמיה٠ ולימא ליה٠ קאמינא לך אנא נהגי
62nl 2ds 510gp 10sm	אמרת לי את איסורא٠ משום דאמ׳ ליה٠ "במקום" איסורא
72nl 2ds 510gp 10sm	נהגו מנהגא ושבקינן להו٠ ולימא ליה٠ קאמינא
82nl 2ds 510gp 10sm	לך אנא٠ "מעשה חרובין" דרבנן אמרת
92nl 2ds 510gp 10sm	לי את "שביעית" דאוריתא٠
13nl 2ds 510gp 10sm	הא אותבה٠
50nl 1ds 610gp 10sm	הא "תבואה" דאימת٠
60nl 1ds 610gp 10sm	או לימא הא "תבואה" דקימא٠ כל הני הרפתקי
70nl 1ds 610gp 10sm	דא{{ר}}<ד>ו עילוה אימת אית דין٠ ואילא "תבואה"
80nl 1ds 610gp 10sm	דמיזרעה٠ למימרא דחד דינא מיתדנא٠ שמע מינה ٠٠٠ תרי דיני מיתדנא٠
31nl 1ds 610gp 10sm	הולכך כד
41nl 1ds 610gp 10sm	חזי איניש דמצלח זרעא٠ אפילו ניקדום ניזרע
51nl 1ds 610gp 10sm	חרפא٠ ^ד^עד דמאטי למידיניה קדים סליק٠ מני
61nl 1ds 610gp 10sm	מתניתין٠
43nl 1ds 610gp 10sm	הכי הכי קאמרינן٠ כר׳ נתן מאי טעמ׳ לא אמ׳٠ "בחינה" עיוני בעלמא הוא٠ "פקידה" נמי
53nl 1ds 610gp 10sm	עיוני בעלמא הוא٠
93nl 1ds 610gp 10sm	כמאן מצלינן האידנא אקצירי ואמריעי٠
30nl 2ds 610gp 10sm	מ׳ט٠ דלא
40nl 2ds 610gp 10sm	איערבב٠
62nl 2ds 610gp 10sm	ואידך٠ ההוא זכותא דארץ ישראל הוא דאהניא ליה٠
82nl 2ds 610gp 10sm	מיכלל "דחודש שבת" מיבי
92nl 2ds 610gp 10sm	למיזל٠
83nl 2ds 610gp 10sm	מאי קראה٠
72nl 1ds 710gp 10sm	ואינהו שפירי משפירי
82nl 1ds 710gp 10sm	בני מחוזא ומי קריי בני גיהנם٠
23nl 1ds 710gp 10sm	האמרת٠ לית להו תקנתא٠ !מ!י לית להו תקנתא
33nl 1ds 710gp 10sm	ברובא "עוונות" ٠٠٠
04nl 1ds 710gp 10sm	קרקפתא
14nl 1ds 710gp 10sm	דלא מנחא תפילי٠
84nl 1ds 710gp 10sm	דאי איכא רובה "עוונות" מחשיב בהדיהו٠
05nl 1ds 710gp 10sm	רב הונא בריה דרב יהושע חלש٠ על רב פפא לשיולי ביה٠ חזא דחליש ליה עלמא٠ אמ׳ ליה٠
15nl 1ds 710gp 10sm	צביתו ליה זואדתא٠ לסוף איתפח٠ הוה קמיכסף מיחזייה٠ אמ׳ ליה٠ אין הכן הוה٠
25nl 1ds 710gp 10sm	ואמר להו "הקב׳ה٠ הואיל" ולא מוקים במיליה לא תוקמו בהדיה٠
03nl 2ds 710gp 10sm	"לטובה" מיהא לקירעיה "לגזר דינם" ולסוף להו٠ שאני התם דאפשר בהכי٠
20nl 1ds 810gp 10sm	"וגזר דין דיחיד" גופיה תניא٠
41nl 1ds 810gp 10sm	"וגזר דין דצבור" מי מיקרע٠
92nl 1ds 810gp 10sm	רבא ואביי מדבי עלי אתו٠ רבא דעסק
03nl 1ds 810gp 10sm	"בתורה" חיא ארבעין٠ אביי דעסק
13nl 1ds 810gp 10sm	"בגמילות חסידים" חיא שיתי٠
14nl 1ds 810gp 10sm	מאי עבידתהו٠
44nl 1ds 810gp 10sm	"כבני מרון" הכא תרגומו٠ כבני אימריא٠
64nl 1ds 810gp 10sm	אף אנן תנינה٠
74nl 1ds 810gp 10sm	מאי קאמ׳٠ אלימא
84nl 1ds 810gp 10sm	דבראנהו לכולי עלמ׳ ולביהו מיחד כהדדי٠ הא חזינן דלאו הכי٠
94nl 1ds 810gp 10sm	אלא הכי קאמ׳٠
25nl 1ds 810gp 10sm	וליפקו נמי אתמוז וטבת٠
50nl 2ds 810gp 10sm	קארי להו "צום" וקארי להו "שמחה"٠
83nl 2ds 810gp 10sm	והנך כי הני٠
93nl 2ds 810gp 10sm	הני הוא דתלנהו רחמנא "בבניין בית המקדש٠ אבל"
04nl 2ds 810gp 10sm	הנך כדקי֗מ֗י קימי٠
34nl 2ds 810gp 10sm	שאני "חנוכה" דמפרסם ניסא٠
44nl 2ds 810gp 10sm	"בתלתא בתשרי בטילת אדכרתא מן שטריא"٠
94nl 2ds 810gp 10sm	ואי ס׳ד٠ "בטלה מגלת תענית" קמייתא
05nl 2ds 810gp 10sm	בטיל אחרנייתא מוסיפין٠
30nl 1ds 910gp 10sm	ותיפוק
40nl 1ds 910gp 10sm	לי דהוה ליה "יום שנהרג בו גדליה בן אחיקם" ٠٠٠ "שלפניו" נמי תיפוק לי דהוה ליה "יום שלאחר ראש חדש٠ ראש חדש" דאוריתא הוא
50nl 1ds 910gp 10sm	ודאוריתא לא בעי "חזוק"٠
61nl 1ds 910gp 10sm	"בעשרין ותמניא ביה אתת בשורתא טבתא"
71nl 1ds 910gp 10sm	"ליהודאי דלא יעידון מן אוריתא"٠
82nl 1ds 910gp 10sm	ואי ס׳ד٠ "בטלה מגלת תענית"٠ קמייתא בטיל
92nl 1ds 910gp 10sm	אחרנייתא מוסיפין٠
13nl 1ds 910gp 10sm	ור׳ מאיר בתר
23nl 1ds 910gp 10sm	הכי הוה٠
10nl 2ds 910gp 10sm	תנאי היא٠
70nl 2ds 910gp 10sm	והלכתא בטלו והלכתא
80nl 2ds 910gp 10sm	לא בטלו٠ קשיא הלכתא אהלכתא٠ לא קשיא٠
90nl 2ds 910gp 10sm	"כאן בחנוכה ובפורים٠ כאן" בשאר יומי٠
11nl 2ds 910gp 10sm	וכיון דנפקי אאלול אתשרי
21nl 2ds 910gp 10sm	למה לי٠ וכי תימא٠ דילמא עברוה לאלול٠
51nl 2ds 910gp 10sm	דלא איצטריך٠ הא איצטריך מעברינן
61nl 2ds 910gp 10sm	ליה٠ והא קא מיקלקלא "ראש השנה٠ מוטב" תיקלקל "ראש"
71nl 2ds 910gp 10sm	"השנה" ולא ליקלקלו כולהו "מועדות"٠
03nl 2ds 910gp 10sm	ומאי שנא "שלשים"
13nl 2ds 910gp 10sm	דידעי "חדש" נמי ידעי٠
53nl 2ds 910gp 10sm	למימרא "דחסרין" עבדינן٠ "מלאים" לא עבדינן٠
63nl 2ds 910gp 10sm	לאפוקי מדדרש רב נחמן בר רב חסדא٠
64nl 2ds 910gp 10sm	אי אמרת٠ בשלמא זמנין
74nl 2ds 910gp 10sm	"מלא" וזמנין "חסר"٠ משום הכי "מחללין את השבת"٠
10nl 1ds 020gp 10sm	אלא אי אמרת٠ "לעולם חסר"٠ אמאי מחללינן٠
30nl 1ds 020gp 10sm	אף אנן נמי תנינא٠
50nl 1ds 020gp 10sm	אי אמרת٠ בשלמא "לעולם חסר"٠ משום
60nl 1ds 020gp 10sm	הכי מחללינן٠ "דמצוה לקדש על פי הראיה"٠ אלא
70nl 1ds 020gp 10sm	אי אמרת٠ זמנין "מלא" וזמנין "חסר"٠ אמאי
80nl 1ds 020gp 10sm	מחללינן٠ ניעבריה האידנא וניקדשיה למחר٠
90nl 1ds 020gp 10sm	אי מקלע "יום שלשים בשבת" הכי נמי٠ הכא
01nl 1ds 020gp 10sm	במאי עסקינן٠ כגון דאיקלע "יום שלשים ואחד בשבת"٠
31nl 1ds 020gp 10sm	מדכולהו מחללינן ולאו משום
